expt,HDonors,HAcceptors,AromaticRings,Morgan1,MaxAbsCharge
-4.59,0,1,1,1.625,3.9555092592592596
-4.84,0,1,1,1.125,3.9837962962962963
-6.619999999999999,1,2,0,1.8,7.94125
-2.78,0,2,0,2.0,8.95138888888889
-7.47,1,1,2,0.8181818181818182,5.623871882086168
-10.27,1,1,1,1.8333333333333333,3.861111111111111
-3.45,0,2,1,1.5,10.158703703703704
-2.32,0,0,0,0.8333333333333334,5.3216512345679
-5.99,0,4,0,1.875,9.91875
-0.44,0,0,1,0.9,2.224537037037037
-2.49,0,2,0,1.4444444444444444,10.464401927437642
-4.16,1,1,0,1.4285714285714286,10.92824074074074
-0.1,0,0,0,1.3333333333333333,3.350347222222222
1.92,0,0,0,1.25,3.6583205782312924
-4.51,0,1,0,1.5454545454545454,11.36976851851852
-4.74,1,1,0,1.5,8.055555555555555
-3.95,1,1,0,1.1428571428571428,5.269288548752835
-4.8,0,6,0,1.0,9.504970238095238
-6.01,1,1,1,1.2222222222222223,9.043703703703704
-4.57,1,1,0,1.3333333333333333,8.19736111111111
-4.39,1,1,0,1.6666666666666667,8.55236111111111
2.97,0,0,0,1.25,2.3290277777777777
-7.0,1,1,1,1.2,10.762425070336777
-8.15,0,8,0,1.1578947368421053,11.802090419501134
-6.5,1,1,1,1.1111111111111112,8.9375
-6.79,1,1,1,1.4444444444444444,8.878858024691358
1.68,0,0,0,1.4285714285714286,2.2118055555555554
-1.16,0,1,0,1.0,5.131944444444445
-3.2,1,1,0,1.2727272727272727,9.70976851851852
-6.68,2,6,1,1.125,4.309135015117158
2.89,0,0,0,1.125,2.2847222222222223
-2.64,0,1,0,1.0,10.960833333333333
-3.64,0,2,0,1.2307692307692308,11.527920445956159
1.66,0,0,0,1.4285714285714286,3.6324914965986395
-2.02,0,2,0,1.6666666666666667,9.393055555555556
-4.97,0,4,0,1.1,10.222133408919124
-17.74,2,2,1,1.4444444444444444,10.432314814814815
-1.24,0,0,1,1.2222222222222223,3.8253703703703703
2.38,0,0,0,1.4,2.2222222222222223
-2.09,0,3,0,1.75,9.457457482993197
-1.46,0,0,1,1.0,3.3112500000000002
-0.19,0,0,0,1.2,5.0609567901234565
-4.09,0,1,0,1.8181818181818181,10.345718537414966
-3.58,0,2,1,1.4,10.227314814814815
0.27,0,0,0,1.0,2.439189172335601
-4.52,0,0,4,0.375,2.212407407407407
-0.1,0,0,0,1.3333333333333333,5.380293209876543
-2.36,0,2,0,1.625,10.125972222222222
2.51,0,0,0,1.1666666666666667,2.2430555555555554
-9.82,1,3,1,1.3,10.07696523053666
-6.72,0,3,0,2.0,9.967083333333333
-7.48,1,2,1,1.2222222222222223,5.425816326530612
0.16,0,0,1,1.1,2.2430555555555554
-2.16,0,0,2,0.7333333333333333,6.100429579239102
-4.55,1,1,0,1.5,4.5
-4.55,1,1,1,1.25,8.787314814814815
-11.53,1,3,2,0.7058823529411765,12.197962962962963
-1.17,0,0,0,1.0,4.8734567901234565
-3.28,0,1,0,1.5714285714285714,10.202638888888888
-5.73,0,6,0,1.0,9.401901927437642
-5.29,1,1,1,1.25,12.068703703703704
-9.41,0,5,1,1.1176470588235294,11.486593915343914
-1.24,0,0,1,1.125,3.630925925925926
-7.5,0,4,0,0.9090909090909091,11.346527777777778
-4.31,1,1,0,1.3333333333333333,10.534722222222221
-5.73,1,2,0,1.5555555555555556,8.726697845804988
-4.85,1,1,0,1.75,7.875
-0.9,0,0,1,0.875,2.1203703703703702
2.51,0,0,0,0.8,2.1875
0.01,0,0,0,1.8,4.889027777777778
-9.61,1,2,1,0.9090909090909091,10.943981481481481
-0.25,0,0,0,1.6,2.387438888888889
-6.13,1,1,1,1.125,8.756666666666668
-0.46,0,0,0,1.5,2.3433333333333337
-5.94,1,2,1,1.3333333333333333,8.98550925925926
0.56,0,0,0,1.0,2.236111111111111
-4.2,1,1,0,1.4285714285714286,10.92824074074074
-4.39,1,1,0,1.75,5.027777777777778
-4.58,1,3,1,1.4,10.067314814814814
-2.44,0,0,2,0.8181818181818182,2.1574074074074074
-2.33,0,0,1,0.3333333333333333,5.668765432098764
-3.43,0,1,0,1.3333333333333333,9.750744126354245
0.71,0,0,0,1.25,5.060742630385487
-6.48,0,6,1,1.2105263157894737,5.684814814814814
-2.04,0,2,0,1.1818181818181819,10.622271904132024
-5.48,1,1,0,1.0,3.2222222222222223
-8.83,1,2,1,1.2222222222222223,10.036148904006048
0.29,0,0,0,1.0,5.4804561917359536
-5.06,0,2,0,0.6666666666666666,4.944444444444445
